Restaurant Name,Location,Operating Hours,Contact,Category,Item Name,Description,Price,Veg Status
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Veg Tandoori Platter,Saffron Paneer Tikka+Malai Broccoli+Soya Chaap Tikka+Dahi Kebab.,₹815,Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Non Veg Tandoori Platter,Pahadi Chicken Tikka+Curry Leaf Chicken Tikka+Mutton Seekh Kebab+Gongura Fish Tikka,₹950,Non-Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Tomato Basil Soup,"Italian style tomato and basil soup, basil oil.",₹245,Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Farmhouse Minestrone Soup,"Hearty broth of seasonal vegetables, tomatoes, chick pea, olive, garlic and basil, served ... read more",₹245,Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Veg Sweet Corn Soup,Asian style light sweet corn soup with vegetables.,₹245,Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Veg Hot and Sour Soup,Asian style spicy-tangy soup with vegetables.,₹245,Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Veg Manchow Soup,Asian style crispy noodle soup with vegetables.,₹245,Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Chicken Hot and Sour Soup,Asian style spicy-tangy soup with chicken.,₹305,Non-Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Chicken Sweet Corn Soup,Asian style light sweet corn soup with chicken.,₹305,Non-Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Chicken Manchow Soup,Asian style crispy noodle soup with chicken.,₹305,Non-Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Prawns Hot and Sour Soup,Asian style spicy-tangy soup with prawns.,₹435,Non-Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Prawns Manchow Soup,Asian style crispy noodle soup with prawns.,₹435,Non-Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Indian Green Salad,"Sliced cucumber, tomato, onion, green chilli and lemon.",₹235,Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Chilli Paneer,"Crispy cottage cheese, bell peppers and onion dices in a tangy, spicy soy ... read more",₹535,Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Chilli Mushroom,"Crispy fresh mushrooms, bell peppers and onion dices in a tangy, spicy soy ... read more",₹535,Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Dahi Kebab,CCH version of hung yogurt and dry fruit kebab.,₹325,Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Paneer Tikka Kali Mirch,Freshly ground black pepper flavored tandoori cottage cheese.,₹385,Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Saffron Paneer Tikka,"Mellow saffron infused, chargrilled cottage cheese.",₹395,Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Malai Broccoli,"Creamy cheesy tandoori cooked broccoli, a must try.",₹385,Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Tandoori Khumbh,"Tandoor cooked fresh mushroom, capsicum with a hint of warm spices.",₹395,Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Chicken Chimichurri Skewers,"Grilled chicken tender skewers with a moderately spicy parsley, olive and garlic sauce.",₹455,Non-Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Chicken & Chips,"Panko fried chicken strips with french fries, peri.",₹445,Non-Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Chilli Chicken,"Crispy chicken dices, bell peppers and onion dices in a tangy, spicy soy ... read more",₹385,Non-Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Chicken Sausage Chilli Fry,"Chicken sausage bites cooked with cooked with onion tomato capsicum curry leaves, red ... read more",₹385,Non-Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Murgh Malai Tikka,"Classic cream and cheese marinated, cardamom and mace scented tandoori chicken kebab.",₹485,Non-Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Half A Tandoori Chicken,Delhi special the traditional tandoori chicken.,₹385,Non-Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Pahadi Chicken Tikka,Succulent chicken kebabs flavored with special mountain herbs.,₹485,Non-Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Dilli 6 Mutton Seekh,"Rustic, juicy and flavorful, the must have mutton mince kebab.",₹585,Non-Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Panko Fried Fish,"Light panko crusted fried sole fish, served with chimichurri tartar sauce.",₹525,Non-Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Chilli Fish,"Crispy fish dices, bell peppers and onion dices in a tangy, spicy soy ... read more",₹685,Non-Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Chur Chur Paratha,"A specialty from the city of Amritsar in Punjab, flaky, crumbly, nutty bread ... read more",₹150,Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Veggie Burger,"Our CCH special homemade veggie patty, special sauce, cheddar cheese, lettuce tomato onion.",₹475,Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Veggie Mushroom & Cheese Burger,"Homemade veggie patty, sauteed fresh mushrooms, special sauce, cheddar cheese, lettuce-tomato-onion.",₹495,Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,NY Chicken Burger,"Juicy chicken mince patty, special sauce, cheddar cheese, lettuce tomato onion.",₹595,Non-Veg
Connaught Royale 1,"Connaught Place, New Delhi",12:00 PM to 11:00 PM (Mon-Sun),+91 11 33106243,Main Course,Nachos,Corn nachos served with tomato salsa and sour cream.,₹275,Veg
