Restaurant Name,Location,Operating Hours,Contact,Category,Item Name,Description,Price,Veg Status
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,All Day Breakfast,Order Online,₹175,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Egg Daily Omelette,,₹175,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,All Day Breakfast,Order Online,₹175,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Vegetable Hot N Sour Soup,,₹245,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Chicken Lemon Coriander Soup,,₹245,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,All Day Breakfast,Order Online,₹175,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Cream Cheese and Spinach Mushroom,,₹395,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Pesto Paneer Tikka,,₹395,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Paneer Malai Tikka,,₹395,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Bhatti ka Paneer,,₹395,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Hara Bhara Kebab,,₹395,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Tailor Made Malai Soya Chaap,,₹395,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Tailor Made Masala Soya Chaap,,₹395,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Tailor Made Achari Soya Chaap,,₹395,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Dilnaz Stuffed Aloo,,₹375,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Stuffed Tandoori Mushroom,,₹425,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Crispy Corn Cubes,,₹375,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Darzi Veggie Crunch,,₹385,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Flambe Chilli Cottage Cheese,,₹385,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Veg Manchurian,,₹355,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Barbecue Chicken Wings,,₹425,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Murgh Malai Tikka,,₹475,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Murgh Angara Tikka,,₹445,Unknown
The Darzi Bar & Kitchen,"Connaught Place, New Delhi",11:00 AM to 1:00 AM (Daily),+91 11 3310 6409,All Items,Tandoori Chicken,,₹425,Unknown
