Restaurant Name,Location,Operating Hours,Contact,Category,Item Name,Description,Price,Veg Status
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Bowls,,₹515,Veg
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Veg Chinese Bowl,,₹515,Veg
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Non Veg Chinese Bowl,,₹595,Veg
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Combos,Dal Makhani+Plain Rice/Jeera Rice/2 Tandoori Roti/1 Butter Naan+Salad [Subject to Availability],₹405,Veg
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Dal Makhani Combo [Serves 1],,₹405,Unknown
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Paneer Butter Masala Combo [Serves 1],,₹405,Unknown
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Kadhai Paneer Combo [Serves 1],,₹405,Unknown
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Paneer Makhani Combo [Serves 1],,₹405,Unknown
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Soya Chaap Lababdar Combo [Serves 1],,₹405,Unknown
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Ghee Dal Tadka Combo [Serves 1],,₹405,Unknown
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Butter Chicken Combo [Serves 1],,₹495,Unknown
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Chicken Curry Combo [Serves 1],,₹495,Unknown
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Dhaniya Aur Hari Mirch ka Chicken Combo [Serves 1],,₹495,Unknown
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Station Style Mutton Curry Combo [Serves 1],,₹555,Unknown
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Meals,PLAN YOUR PARTY MEALS,₹1095,Veg
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Veg Kebab Starter Party Meal [Serves 4],,₹1095,Veg
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Veg Main Course Party Meal [Serves 4],,₹1295,Veg
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Non Veg Kebab Starter Party Meal [Serves 4],,₹1195,Veg
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Non Veg Main Course Party Meal [Serves 4],,₹1395,Veg
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Rajma Chawal,,₹345,Unknown
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Chole Chawal,,₹345,Unknown
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Kadhi Pakoda with Chawal,,₹345,Unknown
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Matar Paneer with Chawal,,₹375,Unknown
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Platters,Paneer Tikka+Dahi ke Kebab+Bharwan Mushroom+Soya Chaap+Chutney+Pyaaz,₹795,Veg
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Tandoori Veg Sharing Platter,,₹795,Veg
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Tandoori Non Veg Sharing Platter,,₹1095,Veg
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Soups,SOUPS,₹225,Veg
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Manchow Soup,,₹225,Unknown
Local,"Connaught Place, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Creamy Sweet Corn Soup,,₹225,Unknown
