Restaurant Name,Location,Operating Hours,Contact,Category,Item Name,Description,Price,Veg Status
Punjab Grill,"Janpath, New Delhi",12:00 PM to 11:30 PM (Mon-Sun),+91 11 33106243,Today's Exclusive Dishes,Tandoori Chicken,Tandoori chicken in classic red chili marinade,₹545,Unknown
Punjab Grill,"Janpath, New Delhi",12:00 PM to 11:30 PM (Mon-Sun),+91 11 33106243,Today's Exclusive Dishes,Tandoori Chicken,,₹545,Unknown
Punjab Grill,"Janpath, New Delhi",12:00 PM to 11:30 PM (Mon-Sun),+91 11 33106243,Today's Exclusive Dishes,Dal Makhani,"Silky, rich, and buttery slow cooked black lentils with mellow smokiness, a Punjab ... read more",₹495,Unknown
Punjab Grill,"Janpath, New Delhi",12:00 PM to 11:30 PM (Mon-Sun),+91 11 33106243,Today's Exclusive Dishes,Dal Makhani,BESTSELLER,₹495,Unknown
Punjab Grill,"Janpath, New Delhi",12:00 PM to 11:30 PM (Mon-Sun),+91 11 33106243,Today's Exclusive Dishes,Butter Chicken (Boneless),"World's Favourite butter chicken Soft and tender chicken tikka simmered in smooth, silky, ... read more",₹575,Unknown
Punjab Grill,"Janpath, New Delhi",12:00 PM to 11:30 PM (Mon-Sun),+91 11 33106243,Today's Exclusive Dishes,Butter Chicken (Boneless),BESTSELLER,₹575,Unknown
Punjab Grill,"Janpath, New Delhi",12:00 PM to 11:30 PM (Mon-Sun),+91 11 33106243,Kulche Di Kahaniya - (Ambarsari Kulcha),"Aloo Pyaaz Kulcha With White Butter, Dal Makhani & Tomato Murabba","The Simple Flavours of Roasted Spices Make the Classic Aloo-Pyaz Kulcha Absolutely Delightful, ... read more",₹405,Unknown
Punjab Grill,"Janpath, New Delhi",12:00 PM to 11:30 PM (Mon-Sun),+91 11 33106243,Kulche Di Kahaniya - (Ambarsari Kulcha),"Aloo Pyaaz Kulcha With White Butter, Dal Makhani & Tomato Murabba",,₹405,Unknown
Punjab Grill,"Janpath, New Delhi",12:00 PM to 11:30 PM (Mon-Sun),+91 11 33106243,Kulche Di Kahaniya - (Ambarsari Kulcha),"Malai Kulcha Served With White Butter, Dal Makhani & Tomato Murabba",The Profound Love for Cheese Is the Inspiration Behind This Alliance. The Limited ... read more,₹415,Unknown
Punjab Grill,"Janpath, New Delhi",12:00 PM to 11:30 PM (Mon-Sun),+91 11 33106243,Kulche Di Kahaniya - (Ambarsari Kulcha),"Malai Kulcha Served With White Butter, Dal Makhani & Tomato Murabba",,₹415,Unknown
