Restaurant Name,Location,Operating Hours,Contact,Category,Item Name,Description,Price,Veg Status
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Veg Hot and Sour Soup,₹245,₹245,Veg
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Veg Sweet Corn Soup,₹245,₹245,Veg
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Chicken Hot and Sour Soup,₹275,₹275,Unknown
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Chicken Sweet Corn Soup,₹275,₹275,Unknown
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Prawns Hot and Sour Soup,₹315,₹315,Unknown
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Prawns Sweet Corn Soup,₹315,₹315,Unknown
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Veg Caesar Baby Cos Salad,₹375,₹375,Veg
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Chicken Caesar Baby Cos Salad,₹425,₹425,Unknown
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Hummus Martine,₹395,₹395,Veg
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Tikka Taster,₹425,₹425,Unknown
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Dahi Kebab,₹425,₹425,Unknown
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Tandoori Soya Chaap Souvlaki,₹425,₹425,Unknown
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Honey Chilli Potatoes,₹345,₹345,Unknown
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Chilli Paneer,₹435,₹435,Unknown
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Stir Fried Vegetables,₹455,₹455,Veg
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Tikka Teaster,₹495,₹495,Veg
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Tamasha Tandoori Chicken,₹595,₹595,Unknown
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Beijing Chicken,₹495,₹495,Unknown
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Chilli Chicken,₹495,₹495,Unknown
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Honey Chilli Chicken,₹495,₹495,Unknown
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Kalonji Mutton Kebab,₹555,₹555,Unknown
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Phuket Fish,₹555,₹555,Unknown
Tamasha,"28A, Kasturba Gandhi Marg, Connaught Place, New Delhi",11:30 AM to 12:30 AM (Mon-Sun),+91 11 33106409,Order Online,Methi Mustard Fish Tikka,₹695,₹695,Unknown
