Restaurant Name,Location,Operating Hours,Contact,Category,Item Name,Description,Price,Veg Status
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Bar Nibbles,Garlic-infused bread topped with mozzarella cheese,₹199,Veg
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Cheese Garlic Bread,,₹199,Unknown
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Classic Fries,,₹199,Unknown
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Do It Your Way Fries,,₹249,Unknown
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Kadak Rumali Roti,,₹149,Unknown
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Masala Papad,,₹179,Unknown
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Mini Sandwiches,,₹199,Unknown
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Peanut Masala,,₹199,Unknown
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Soups,VEG SOUPS,₹199,Veg
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Basil Tomato Soup,,₹199,Unknown
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Cream Of Mushroom,,₹199,Unknown
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Veg Hot & Sour Soup,,₹199,Veg
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Veg Lemon Coriander Soup,,₹199,Veg
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Veg Manchow Soup,,₹199,Veg
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Veg Sweet Corn Soup,,₹199,Veg
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Veg Tom Yum Soup,,₹199,Veg
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Cream Of Chicken,,₹229,Unknown
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Non-Veg Hot & Sour Soup,,₹229,Non-Veg
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Non-Veg Lemon Coriander Soup,,₹229,Non-Veg
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Non-Veg Manchow Soup,,₹229,Non-Veg
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Non-Veg Sweet Corn Soup,,₹229,Non-Veg
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Non-Veg Tom Yum Soup,,₹229,Non-Veg
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Smoke Chicken Soup,,₹229,Unknown
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Appetizers,VEG APPETIZERS,₹399,Veg
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Chilli Paneer,,₹399,Unknown
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Chilly Mushroom,,₹399,Unknown
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Cigar Rolls,,₹399,Unknown
Xero Courtyard,"Janpath, New Delhi",12:00 PM to 1:00 AM (Mon-Sun),+91 11 33106243,All Items,Crispy Corn Salt & Pepper,,₹349,Unknown
